Student ID,College Department,Campus Location
S202600,College of Engineering,Manila Campus
S202601,College of Business Administration,Quezon City Campus
S202602,College of Computer Studies,Makati Campus
S202603,College of Arts and Sciences,Cebu Campus
S202604,College of Nursing,Manila Campus
S202605,College of Education,Quezon City Campus
S202606,College of Architecture,Manila Campus
S202607,College of Pharmacy,Makati Campus
S202608,College of Accountancy,Manila Campus
S202609,College of Fine Arts,Quezon City Campus
