college_department,total_students,total_tuition,avg_tuition
College of Accountancy,3,166665.21000000002,55555.07000000001
College of Architecture,6,221862.07,36977.011666666665
College of Arts and Sciences,3,165509.29,55169.763333333336
College of Business Administration,2,73748.95999999999,36874.479999999996
College of Computer Studies,5,226236.08000000002,45247.216
College of Education,3,113240.69,37746.89666666667
College of Engineering,2,118205.41,59102.705
College of Fine Arts,3,171686.82,57228.94
College of Nursing,6,280646.53,46774.42166666667
College of Pharmacy,5,222739.44,44547.888
